family_code,family,task,base_hours,hourly_rate,price,labor_taxable_default,tax_mixed_by_brand,hours_vary_by_brand,brand_count,epass_code_stems,flags
CG,Cooking - Gas,Door Hinge Receiver Replacement (Pro Range),1.75,130,227.5,Y,yes,yes,30,CG415,pro
CG,Cooking - Gas,Door Hinge Receiver Replacement (Single Wall Oven),1,130,130,Y,yes,yes,30,CG416,
CG,Cooking - Gas,Door Hinge Receiver Replacement (Standard Range),1,130,130,Y,yes,yes,30,CG417,
CG,Cooking - Gas,Door Lock/Latch Assembly Replacement,1,130,130,Y,yes,no,30,CG418,
CG,Cooking - Gas,Door/Window Cleaning (Double Oven),1,130,130,Y,yes,no,30,CG419,
CG,Cooking - Gas,Door/Window Cleaning (Single Oven),0.75,130,97.5,Y,yes,no,30,CG420,
CG,Cooking - Gas,Electronic Control/Module Replacement,1,130,130,Y,yes,no,30,CG421,
CG,Cooking - Gas,Gas Supply Flex Line Replacement,0.5,130,65.0,Y,yes,yes,30,CG422,
CG,Cooking - Gas,Griddle/Grill Component Replacement,0.5,130,65.0,Y,yes,no,30,CG423,
CG,Cooking - Gas,Griddle/Grill Thermostat Replacement,1.25,130,162.5,Y,yes,yes,30,CG424,
CG,Cooking - Gas,Hi-Limit Thermal Cutout Replacement - Front Service,0.75,130,97.5,Y,yes,no,30,CG425,
CG,Cooking - Gas,Hi-Limit Thermal Cutout Replacement - Rear Service,1,130,130,Y,yes,yes,30,CG426,rear-service
CG,Cooking - Gas,Level Unit/Adjust Unit,0.5,130,65.0,Y,yes,no,30,CG609,
CG,Cooking - Gas,Leveling Legs/Wheel Replacement - Pro Range,1,130,130,Y,yes,yes,30,CG427,pro
CG,Cooking - Gas,Leveling Legs/Wheel Replacement - Standard Range,0.5,130,65.0,Y,yes,yes,30,CG428,
CG,Cooking - Gas,Light Bulb Replacement (Front Service),0.2,130,26.0,Y,yes,no,30,CG429,
CG,Cooking - Gas,Light Bulb Replacement (Rear Service),0.5,130,65.0,Y,yes,no,30,CG430,rear-service
CG,Cooking - Gas,Locate and Repair Gas Leak Locate and Repair (Difficult Access),1,130,130,Y,yes,yes,30,CG431,modifier
CG,Cooking - Gas,Locate and Repair Gas Leak Locate and Repair (Readily Accessible),0.5,130,65.0,Y,yes,yes,30,CG432,
CG,Cooking - Gas,Orifice(s) Replacement (Cooktop),0.5,130,65.0,Y,yes,yes,30,CG433,
CG,Cooking - Gas,Orifice(s) Replacement (Oven),0.75,130,97.5,Y,yes,yes,30,CG434,
CG,Cooking - Gas,Oven Ignitor (HSI) Replacement,0.75,130,97.5,Y,yes,yes,30,CG435,
CG,Cooking - Gas,Oven Temp Sensor (Thermistor) Replacement,0.75,130,97.5,Y,yes,no,30,CG436,
CG,Cooking - Gas,Oven Temperature Calibration,0.75,130,97.5,Y,yes,no,30,CG437,
CG,Cooking - Gas,Oven Thermostat Replacement,2,130,260,Y,yes,no,30,CG438,
CG,Cooking - Gas,Power Cord/Electrical Conduit Replacement,0.5,130,65.0,Y,yes,no,30,CG439,
CG,Cooking - Gas,Probe Jack Replacement,0.75,130,97.5,Y,yes,no,30,CG440,
CG,Cooking - Gas,Problem Could Not Be Reproduced,0.5,130,65.0,Y,yes,no,30,CG610,
CG,Cooking - Gas,Rack Replacement - Oven,0.15,130,19.5,Y,yes,no,30,CG441,
CG,Cooking - Gas,Regulator Replacement (Standard Access),0.75,130,97.5,Y,yes,yes,30,CG442,
CG,Cooking - Gas,Regulator Replacement Pro Range (Difficult Access),1.5,130,195.0,Y,yes,yes,30,CG443,pro modifier
CG,Cooking - Gas,Repair Burnt Wire(s) or Loose Connection(s),0.75,130,97.5,Y,yes,no,30,CG611,
